country,Strength of legal rights index,"Wage and salaried workers, total (% of total employment)","Vulnerable employment, total (% of total employment)",GDP per capita (current LCU)
Arab World,12.121212121212082,68.1840664196293,26.3226043074514,0.0
Caribbean small states,44.87179487179492,68.9985356814896,27.091529522624,0.0
Central Europe and the Baltics,59.84848484848484,81.3492688487081,15.2906445427081,0.0
Early-demographic dividend,36.338797814207666,38.5543053970462,58.7644075991836,0.0
East Asia & Pacific,54.88505747126433,61.4023376033247,35.3150741372504,0.0
East Asia & Pacific (excluding high income),52.083333333333336,58.8315537249853,37.9175810489956,0.0
East Asia & Pacific (IDA & IBRD countries),53.571428571428584,59.205401875027,37.5123539231856,0.0
Euro area,39.473684210526336,84.6715233434508,10.5331221256726,0.0
Europe & Central Asia,48.639455782312915,82.3702981770505,14.1876194009354,0.0
Europe & Central Asia (excluding high income),54.583333333333336,79.6194528190125,18.0109434555566,0.0
Europe & Central Asia (IDA & IBRD countries),54.166666666666664,79.6409890345031,17.8288768661208,0.0
European Union,47.0238095238095,84.1159727440149,11.713317895098,0.0
Fragile and conflict affected situations,36.428571428571416,35.501209537625,61.0965342506405,0.0
Heavily indebted poor countries (HIPC),41.239316239316246,23.5834186567544,73.8788145850615,0.0
High income,44.91525423728817,85.7321179083769,10.3943017157211,0.0
IBRD only,40.920398009950254,53.2553953170874,43.661242790175,0.0
IDA & IBRD total,42.37588652482267,48.1799599773163,48.8597361885846,0.0
IDA blend,44.270833333333336,34.1617496950245,63.7221285168543,0.0
IDA only,43.53448275862067,28.1654390059004,69.1425593569673,0.0
IDA total,43.69369369369367,29.9692086521341,67.5120219939454,0.0
Late-demographic dividend,47.22222222222225,64.1763846563454,32.5430404607675,0.0
Latin America & Caribbean,44.19191919191917,63.3912107451336,31.9474080228138,0.0
Latin America & Caribbean (excluding high income),42.02898550724641,62.1137692163784,33.1804428181076,0.0
Latin America & the Caribbean (IDA & IBRD countries),41.944444444444414,63.3018425255748,32.4337305360846,0.0
Least developed countries: UN classification,40.217391304347835,27.075617610274,70.4177590021377,0.0
Low & middle income,41.85750636132317,47.6117887452449,49.4173715904809,0.0
Low income,39.89898989898992,22.8986911131366,74.8768707001419,0.0
Lower middle income,42.198581560283664,34.1276811455028,63.3519606640189,0.0
Middle East & North Africa,12.301587301587334,68.4578357439454,26.2475930731742,0.0
Middle East & North Africa (excluding high income),9.615384615384583,60.88247856305,32.8791230343458,0.0
Middle East & North Africa (IDA & IBRD countries),10.416666666666666,60.9173510097751,32.8172104456807,0.0
Middle income,42.51700680272108,50.5504090357068,46.3899971276599,0.0
North America,83.33333333333333,89.5526800771752,6.67406308788084,0.0
Not classified,0.0,0.0,0.0,0.0
OECD members,50.23809523809525,83.4144735916504,12.5694959759293,0.0
Other small states,34.93589743589742,71.6586552327988,25.9936038757594,0.0
Pacific island small states,69.44444444444441,46.9926171260936,51.5471577358606,0.0
Post-demographic dividend,49.537037037037,86.1612451845858,9.8112197267874,0.0
Pre-demographic dividend,40.76576576576576,25.8440880496166,71.3292568502957,0.0
Small states,44.09722222222225,69.8909693107383,27.5043015770075,0.0
South Asia,37.5,25.1126684197384,73.2409841202976,0.0
South Asia (IDA & IBRD),37.5,25.1126684197384,73.2409841202976,0.0
Sub-Saharan Africa,41.145833333333336,26.0097908103425,71.2619345075266,0.0
Sub-Saharan Africa (excluding high income),41.666666666666664,26.0097908103425,71.2619345075266,0.0
Sub-Saharan Africa (IDA & IBRD countries),41.145833333333336,26.0097908103425,71.2619345075266,0.0
Upper middle income,42.81045751633983,65.3349134381412,31.1200476860196,0.0
World,42.807017543859665,54.5060214875974,42.3598741358715,0.0
Afghanistan,75.0,32.7519989013672,66.003999710083,38129.5526677722
Albania,50.0,40.568000793457,56.9970016479493,512934.351053736
Algeria,16.666666666666668,69.0950012207031,27.8259994983673,428675.661450663
American Samoa,0.0,0.0,0.0,11834.7452292307
Andorra,0.0,0.0,0.0,33657.5613669595
Angola,8.333333333333334,28.5179996490479,66.5479984283447,541502.511277454
Antigua and Barbuda,41.666666666666664,0.0,0.0,39047.8759545576
Argentina,25.0,74.9489974975586,21.1129991412162,186755.50194618
Armenia,50.0,58.7849998474121,40.3280000686646,1732517.01987407
Aruba,0.0,0.0,0.0,0.0
Australia,91.66666666666667,82.8889999389648,10.8910001069307,68548.0604964502
Austria,33.333333333333336,87.25,8.18999981880188,40438.4051219527
Azerbaijan,16.666666666666668,31.7999992370605,55.0669994354248,6192.49479289005
"Bahamas, The",50.0,81.2129974365234,14.5139997005462,30260.3059054474
Bahrain,8.333333333333334,96.7320022583008,1.82000002264977,8482.77855780113
Bangladesh,41.666666666666664,39.548999786377,57.6500005722046,106342.259012433
Barbados,58.333333333333336,83.2060012817383,15.9280000180006,31783.2530982891
Belarus,16.666666666666668,96.7149963378906,2.55199990794063,9993.01796951945
Belgium,33.333333333333336,85.1259994506836,10.7070000171661,37301.3731198079
Belize,33.333333333333336,68.6009979248047,26.2689995765686,9920.36358780665
Benin,50.0,10.8830003738403,87.8539972305297,467606.204318535
Bermuda,0.0,0.0,0.0,0.0
Bhutan,33.333333333333336,28.5230007171631,71.390998840332,186369.331820774
Bolivia,0.0,64.9440002441406,31.2980003356934,21540.7534725303
Bosnia and Herzegovina,58.333333333333336,74.5749969482422,20.8559994697571,8502.14938740042
Botswana,41.666666666666664,82.1439971923828,14.9750001430511,75808.5287922284
Brazil,16.666666666666668,68.1149978637695,27.4889996051788,30142.7470788809
British Virgin Islands,0.0,0.0,0.0,0.0
Brunei Darussalam,41.666666666666664,92.7440032958984,5.13599997758865,37211.4181483818
Bulgaria,75.0,88.2389984130859,8.19500023126603,13205.9835388706
Burkina Faso,50.0,12.0480003356934,87.2390022277832,364159.32391783
Burundi,16.666666666666668,6.77299976348877,92.345003604889,472764.625640327
Cabo Verde,16.666666666666668,59.9860000610352,37.6410007476807,302804.856241004
Cambodia,83.33333333333333,48.4230003356934,51.1299991607666,5154165.65014018
Cameroon,50.0,24.8169994354248,71.6400021314621,815087.928170211
Canada,75.0,84.6449966430664,10.7439996898174,56129.2769114479
Cayman Islands,0.0,0.0,0.0,0.0
Central African Republic,50.0,30.9020004272461,67.3499972820282,226570.809648935
Chad,50.0,8.16199970245361,91.5009994506836,386189.025696032
Channel Islands,0.0,85.427001953125,10.0030003786087,0.0
Chile,33.333333333333336,72.1740036010742,23.753000497818,9450934.83434222
China,33.333333333333336,63.6230010986328,33.0220003128051,53935.1836740615
Colombia,100.0,48.9930000305176,47.071001291275,17582155.9426276
Comoros,50.0,30.9389991760254,63.8699989318847,344721.828152554
"Congo, Dem. Rep.",50.0,42.6349983215332,53.5319995880127,476495.116438449
"Congo, Rep.",50.0,23.5930004119873,74.890998840332,906261.650572659
Costa Rica,83.33333333333333,78.2119979858398,14.0140000879764,6391269.70455033
Cote d'Ivoire,50.0,24.6590003967285,73.3579978942871,909988.382387701
Croatia,41.666666666666664,86.0709991455078,8.72899985313415,83704.0697842945
Cuba,0.0,65.4029998779297,10.2470003366471,0.0
Curacao,0.0,0.0,0.0,0.0
Cyprus,58.333333333333336,85.5530014038086,12.59099984169,21281.5053765966
Czech Republic,58.333333333333336,82.8190002441406,14.032999753952,451740.490455912
Denmark,66.66666666666667,90.9160003662109,5.65300005674362,360677.09378999
Djibouti,8.333333333333334,58.3880004882813,39.1859998703003,332733.537189083
Dominica,50.0,0.0,0.0,21348.1487021199
Dominican Republic,8.333333333333334,55.5979995727539,41.1309996843338,313032.649743994
Ecuador,8.333333333333334,51.7270011901855,45.0390014648438,6018.52686848782
"Egypt, Arab Rep.",16.666666666666668,69.2070007324219,20.217999458313,28314.7387097958
El Salvador,75.0,59.9799995422363,35.9690003395081,3768.83770478833
Equatorial Guinea,50.0,59.5890007019043,35.9389991760253,5463910.46999975
Eritrea,0.0,51.0629997253418,46.3699979782105,0.0
Estonia,58.333333333333336,90.5039978027344,5.6090000718832,16034.6926941229
Eswatini,33.333333333333336,79.3980026245117,19.1100006699562,40749.6342783624
Ethiopia,25.0,11.2419996261597,88.1749992370605,15051.0634453245
Faroe Islands,0.0,0.0,0.0,0.0
Fiji,41.666666666666664,60.2389984130859,38.3079996109009,10887.2223953002
Finland,58.333333333333336,85.9349975585938,10.0059997439384,39264.9868442195
France,33.333333333333336,88.0849990844727,7.60700008273125,33331.9732727759
French Polynesia,0.0,72.1119995117188,13.3269999623298,0.0
Gabon,50.0,65.8679962158203,31.9999996423721,4197726.4209364
"Gambia, The",66.66666666666667,27.0470008850098,71.2269983291626,20726.9949830783
Georgia,75.0,42.4329986572266,56.4349994659424,9149.15500228538
Germany,50.0,89.5540008544922,6.00700017809867,38179.7306280688
Ghana,58.333333333333336,26.8010005950928,66.1379985809326,5933.10393534479
Gibraltar,0.0,0.0,0.0,0.0
Greece,25.0,65.8349990844727,26.7299995422364,16165.5282758278
Greenland,0.0,0.0,0.0,324196.419036771
Grenada,50.0,0.0,0.0,26572.7629359747
Guam,0.0,70.2269973754883,25.0290007591247,35562.5675277478
Guatemala,75.0,62.4889984130859,34.5740003585816,31469.1919520549
Guinea,50.0,8.38700008392334,90.1030006408691,6284242.598529
Guinea-Bissau,50.0,33.3409996032715,65.223998427391,384802.390392667
Guyana,25.0,65.7689971923828,29.6859991550446,935701.788302903
Haiti,16.666666666666668,11.5019998550415,87.4999961853028,44362.236840868
Honduras,75.0,51.6380004882813,37.1820001602173,54235.324623963
"Hong Kong SAR, China",66.66666666666667,90.9980010986328,5.98600000143051,339500.040890876
Hungary,83.33333333333333,89.2269973754883,5.82200014591217,3609153.9626512
Iceland,41.666666666666664,88.0299987792969,7.93799980729818,7312714.15577795
India,50.0,20.9190006256104,77.5430040359497,115194.407947198
Indonesia,50.0,48.8950004577637,47.5729990005494,47514514.4223098
"Iran, Islamic Rep.",16.666666666666668,54.9199981689453,41.4749989509583,163822637.66597
Iraq,0.0,60.367000579834,35.3129987716674,5448548.01974444
Ireland,58.333333333333336,83.0790023803711,12.2509995698929,57949.040393579
Isle of Man,0.0,0.0,0.0,0.0
Israel,50.0,84.1100006103516,12.2639999613166,142795.532424526
Italy,16.666666666666668,76.0029983520508,17.496000289917,27725.8365502729
Jamaica,75.0,59.0019989013672,37.8470003604888,610285.43862176
Japan,41.666666666666664,89.3560028076172,8.59999990463257,4239913.95974587
Jordan,0.0,84.2959976196289,9.55700016021729,2902.43563687142
Kazakhstan,33.333333333333336,73.4209976196289,25.1530007719993,2639710.285261
Kenya,58.333333333333336,37.9179992675781,54.4770011901855,148450.557917193
Kiribati,33.333333333333336,0.0,0.0,2134.91061672276
"Korea, Dem. People���s Rep.",0.0,32.9560012817383,65.9650001525879,0.0
"Korea, Rep.",41.666666666666664,70.5220031738281,24.1090002059937,32037532.4317411
Kosovo,75.0,0.0,0.0,3342.58341592336
Kuwait,8.333333333333334,97.5189971923828,1.88899998925626,8267.95940565328
Kyrgyz Republic,66.66666666666667,60.7509994506836,36.6189994812011,78350.3906571264
Lao PDR,50.0,16.7250003814697,82.8520011901856,19128790.6218719
Latvia,75.0,87.0879974365234,8.66399991512299,12720.1563430545
Lebanon,16.666666666666668,62.9179992675781,25.8410005569458,12447871.2937189
Lesotho,41.666666666666664,40.2490005493164,59.0809988975525,15293.6310163121
Liberia,75.0,19.5839996337891,77.7570009231568,455.370741357005
Libya,0.0,58.4010009765625,36.5750007629394,7120.07553612602
Liechtenstein,0.0,0.0,0.0,0.0
Lithuania,50.0,87.6380004882813,9.99600011110306,13481.5924867976
Luxembourg,25.0,89.9059982299805,6.16199982166291,91071.30928122
"Macao SAR, China",0.0,93.0640029907227,3.48099991679192,591774.793479557
"Macedonia, FYR",83.33333333333333,75.2190017700195,22.612000465393,287756.714135939
Madagascar,16.666666666666668,10.5640001296997,85.4049987792969,1276150.05438339
Malawi,75.0,38.7639999389648,59.9040002822876,215622.465152979
Malaysia,58.333333333333336,74.3639984130859,22.175000667572,39443.0226568441
Maldives,16.666666666666668,73.9169998168945,20.8339991569519,151698.631930353
Mali,50.0,11.0,88.0550003051758,462513.687937268
Malta,16.666666666666668,86.3720016479492,8.99099969491363,22392.8091427367
Marshall Islands,83.33333333333333,0.0,0.0,3665.20747748087
Mauritania,16.666666666666668,51.9000015258789,44.9970006942749,387347.367530199
Mauritius,50.0,79.3730010986328,16.1730000972748,344103.118942787
Mexico,83.33333333333333,68.3529968261719,27.1579999923706,157593.910442025
"Micronesia, Fed. Sts.",83.33333333333333,0.0,0.0,3143.74910660682
Moldova,66.66666666666667,70.4189987182617,28.7169998884201,38119.0184332342
Monaco,0.0,0.0,0.0,0.0
Mongolia,41.666666666666664,51.5639991760254,46.9280004501342,7906411.27063571
Montenegro,100.0,79.1009979248047,11.7420003414154,6354.16187934174
Morocco,16.666666666666668,46.1520004272461,50.8629989624024,28370.8963100683
Mozambique,8.333333333333334,11.2840003967285,84.6710014343262,23906.5444096174
Myanmar,16.666666666666668,38.2939987182617,58.2590007781983,1507432.38616957
Namibia,41.666666666666664,70.1579971313477,25.3099992275238,67082.4544614639
Nauru,0.0,0.0,0.0,10744.1183232432
Nepal,50.0,19.8190002441406,78.9219970703125,77543.5367791437
Netherlands,16.666666666666668,83.1389999389648,12.8139996528625,41258.2527838301
New Caledonia,0.0,75.661003112793,8.66600024700165,0.0
New Zealand,100.0,82.0759963989258,12.2059999108314,57937.8675530555
Nicaragua,8.333333333333334,54.7360000610352,39.5029993057251,61358.3014793019
Niger,50.0,10.5500001907349,88.5570011138916,218200.906022918
Nigeria,58.333333333333336,18.5049991607666,80.2820024490356,551511.460716844
Northern Mariana Islands,0.0,0.0,0.0,22572.3788234011
Norway,41.666666666666664,93.0199966430664,5.16500002145768,595476.298777404
Oman,8.333333333333334,88.9189987182617,9.0450000166893,5806.8659964084
Pakistan,16.666666666666668,38.9360008239746,59.6940002441406,150492.28720916
Palau,83.33333333333333,0.0,0.0,14077.0962191322
Panama,58.333333333333336,64.1139984130859,32.2510008811951,14332.9724780057
Papua New Guinea,75.0,23.6720008850098,74.7419986724853,7713.27567839145
Paraguay,8.333333333333334,55.7719993591309,39.0730004310608,23123003.1941139
Peru,66.66666666666667,45.3639984130859,50.366000175476,20356.4636932918
Philippines,8.333333333333334,61.2410011291504,35.4390001296997,140146.27853999
Poland,58.333333333333336,79.2720031738281,16.7709996700287,48950.0326928405
Portugal,16.666666666666668,82.2119979858398,13.0130000114441,17964.7320039839
Puerto Rico,91.66666666666667,70.8379974365234,15.4730001688004,30833.3724739617
Qatar,8.333333333333334,99.5619964599609,0.157999997958541,215940.593134729
Romania,75.0,73.3870010375977,25.5730009078979,38692.9729942628
Russian Federation,58.333333333333336,92.495002746582,6.21400004625321,586629.74695929
Rwanda,83.33333333333333,19.4780006408691,80.0230016708374,559889.953503702
Samoa,41.666666666666664,63.7480010986328,31.8469994068146,10533.2453555413
San Marino,8.333333333333334,0.0,0.0,43309.3395175135
Sao Tome and Principe,0.0,64.2070007324219,34.353998541832,39247513.8917513
Saudi Arabia,16.666666666666668,95.1320037841797,2.98699992522597,74932.821117772
Senegal,50.0,53.2089996337891,44.3669986724854,565001.143429883
Serbia,50.0,68.5770034790039,28.0640001296997,603815.949456542
Seychelles,16.666666666666668,0.0,0.0,200830.784408127
Sierra Leone,41.666666666666664,9.98600006103516,87.6449966430664,3125154.63701091
Singapore,66.66666666666667,85.9260025024414,8.29699984192848,76318.388067804
Sint Maarten (Dutch part),0.0,0.0,0.0,0.0
Slovak Republic,58.333333333333336,84.5690002441406,12.2320003211499,14943.2856828775
Slovenia,25.0,85.7770004272461,10.5459995269775,19572.5528584891
Solomon Islands,83.33333333333333,36.492000579834,62.2989997863769,16345.3933016835
Somalia,0.0,26.2360000610352,72.281996846199,10850561.0590008
South Africa,41.666666666666664,84.8489990234375,9.61099991202354,77662.7233568125
South Sudan,16.666666666666668,41.7630004882813,49.7970008850098,11731.352094274
Spain,41.666666666666664,83.0130004882813,12.0129996240139,24062.4840402287
Sri Lanka,16.666666666666668,57.0999984741211,40.0939998626709,561559.762561902
St. Kitts and Nevis,41.666666666666664,0.0,0.0,44811.4317506065
St. Lucia,41.666666666666664,65.3460006713867,28.7619993686676,25285.0181164509
St. Martin (French part),0.0,0.0,0.0,0.0
St. Vincent and the Grenadines,41.666666666666664,88.0579986572266,9.05800020694732,18852.0927008564
Sudan,25.0,55.1879997253418,40.3459987640381,14997.3869868001
Suriname,16.666666666666668,85.1709976196289,13.1860002279281,36570.8636598086
Sweden,50.0,89.9869995117188,6.36499989032746,443894.413884392
Switzerland,50.0,84.9169998168945,9.07699978351593,78699.5400997786
Syrian Arab Republic,8.333333333333334,60.7999992370605,34.864999294281,0.0
Tajikistan,8.333333333333334,51.2270011901855,48.1770014762879,6235.99376802457
Tanzania,41.666666666666664,13.6630001068115,83.5189971923828,1923036.43276749
Thailand,25.0,47.0419998168945,50.2770004272461,211047.536726052
Timor-Leste,0.0,48.4410018920898,49.4470005035401,1987.1248565044
Togo,50.0,18.5499992370605,80.4330005645752,342141.701827967
Tonga,83.33333333333333,44.7039985656738,54.246000289917,8303.61643733313
Trinidad and Tobago,58.333333333333336,77.5780029296875,16.4770001769066,108973.729671595
Tunisia,25.0,72.379997253418,20.8590002059936,7923.21241281432
Turkey,16.666666666666668,67.4919967651367,27.9829998016358,32806.5169210156
Turkmenistan,0.0,73.7570037841797,21.0810008049011,22362.6694997867
Turks and Caicos Islands,0.0,0.0,0.0,0.0
Tuvalu,0.0,0.0,0.0,4430.39389954362
Uganda,50.0,22.076000213623,74.5960025787354,1998235.56669506
Ukraine,66.66666666666667,82.7470016479492,15.6959999799728,55848.1926299139
United Arab Emirates,16.666666666666668,96.890998840332,0.36999998614192,141456.621916861
United Kingdom,58.333333333333336,84.5019989013672,13.0560002028942,29930.5448470487
United States,91.66666666666667,90.1399993896484,6.1869998127222,57588.538070583
Uruguay,33.333333333333336,72.0579986572266,23.7980005145073,461438.038609689
Uzbekistan,50.0,72.0839996337891,25.2270002365113,6244433.70042609
Vanuatu,91.66666666666667,25.5249996185303,73.2039995193481,316092.595468968
"Venezuela, RB",8.333333333333334,65.7239990234375,30.835000038147,0.0
Vietnam,58.333333333333336,41.2490005493164,55.9010009765625,47613166.8078545
Virgin Islands (U.S.),0.0,69.4300003051758,24.8669993877411,0.0
West Bank and Gaza,0.0,57.0130004882813,39.7489995956421,11328.4737377568
"Yemen, Rep.",0.0,46.5190010070801,40.1469993591309,184878.647797565
Zambia,58.333333333333336,22.0289993286133,77.6180000305176,13024.7073934131
Zimbabwe,41.666666666666664,34.1129989624023,65.2250003814698,1029.07664856057
